,country,pred1,pred2,pred3,pred4,pred5,pred6
220,Korea,,,a,an,high,this
3,Korea,,casual,clothes,jeans,pretty,whatever
115,Korea,,a,business,casual,formal,suits
129,Korea,,a,casual,clothes,modern,normal
150,Korea,,a,clothes,jeans,shoes,the
52,Korea,,casual,clothes,jeans,what,whatever
24,Korea,,a,clothes,jeans,skirts,whatever
213,Korea,,a,my,something,the,this
45,Korea,,a,casual,clothes,jeans,whatever
59,Korea,,a,casual,jeans,pretty,whatever
143,Korea,,a,an,her,something,the
199,Korea,,all,clothes,such,the,trendy
66,Korea,,a,business,casual,jeans,very
38,Korea,,a,casual,clothes,jeans,women
73,Korea,,a,black,jeans,skinny,the
178,Korea,,a,my,that,the,what
101,Korea,,\n,a,brightly,clothes,rain
31,Korea,,a,casual,clothes,h,traditional
206,Korea,,a,black,jeans,skinny,something
171,Korea,,a,another,new,some,something
87,Korea,,\n,a,casual,clothes,light
192,Korea,,a,jeans,makeup,my,the
136,Korea,,a,casual,formal,modern,suits
94,Korea,,\n,a,casual,clothes,jeans
17,Korea,,a,casual,clothes,jeans,pretty
164,Korea,,a,denim,jeans,t,tops
80,Korea,,a,casual,clothes,jeans,skinny
185,Korea,,a,an,definitely,my,the
111,Neutral,,a,business,formal,professional,suits
153,Neutral,,\n,a,denim,jeans,t
160,Neutral,,and,clothes,dresses,expensive,shoes
167,Neutral,,a,denim,jeans,t,tops
174,Neutral,,a,another,myself,some,something
188,Neutral,,\n,a,definitely,my,skinny
195,Neutral,,a,anything,heels,my,the
202,Neutral,,all,designer,stylish,the,trendy
209,Neutral,,a,dark,jeans,skinny,something
216,Neutral,,,a,my,something,the
146,Neutral,,a,an,her,something,the
181,Neutral,,a,my,that,the,what
223,Neutral,,,\n,a,an,denim
76,Neutral,,a,jeans,probably,skinny,usually
55,Neutral,,a,clothes,jeans,pretty,whatever
104,Neutral,,,\n,a,clothes,rain
41,Neutral,,a,casual,jeans,my,whatever
34,Neutral,,casual,comfortable,dresses,jeans,pretty
62,Neutral,,a,casual,jeans,pretty,whatever
27,Neutral,,a,clothes,dresses,jeans,whatever
118,Neutral,,a,business,casual,formal,suits
97,Neutral,,,\n,dark,darker,light
90,Neutral,,,\n,clothes,light,sunglasses
20,Neutral,,casual,dresses,jeans,pretty,whatever
13,Neutral,,a,casual,clothes,jeans,whatever
83,Neutral,,casual,clothes,jeans,something,whatever
132,Neutral,,a,business,casual,modern,suits
69,Neutral,,a,business,casual,dress,jeans
6,Neutral,,a,dresses,jeans,pretty,whatever
139,Neutral,,casual,formal,nice,professional,suits
125,Neutral,,a,casual,formal,professional,suits
48,Neutral,,a,clothes,jeans,pretty,whatever
63,US_CA,,a,business,casual,jeans,pretty
140,US_CA,,a,an,her,something,the
56,US_CA,,a,jeans,my,pretty,whatever
189,US_CA,,a,anything,heels,makeup,my
182,US_CA,,a,an,definitely,my,the
196,US_CA,,all,designer,everything,the,trendy
42,US_CA,,a,jeans,pretty,t,whatever
70,US_CA,,a,definitely,jeans,probably,skinny
203,US_CA,,a,jeans,ripped,skinny,something
28,US_CA,,a,casual,jeans,pretty,very
21,US_CA,,clothes,dresses,jeans,t,whatever
210,US_CA,,,a,my,something,this
14,US_CA,,a,casual,jeans,pretty,whatever
217,US_CA,,,a,an,denim,distressed
7,US_CA,,a,clothes,pretty,t,whatever
49,US_CA,,a,clothes,jeans,pretty,whatever
35,US_CA,,a,jeans,my,t,whatever
0,US_CA,,a,casual,jeans,pretty,whatever
161,US_CA,,a,definitely,denim,jeans,t
112,US_CA,,a,business,casual,nice,suits
175,US_CA,,a,my,that,the,what
154,US_CA,,clothes,designer,dresses,expensive,shoes
84,US_CA,,casual,light,shorts,sunglasses,t
133,US_CA,,a,business,casual,jeans,suits
77,US_CA,,a,clothes,comfortable,jeans,something
105,US_CA,,a,business,casual,professional,suits
98,US_CA,,a,jeans,light,rain,shorts
147,US_CA,,a,clothing,denim,jeans,t
168,US_CA,,a,another,myself,some,something
91,US_CA,,comfortable,jeans,layers,light,swe
126,US_CA,,a,business,casual,jeans,whatever
119,US_CA,,a,business,casual,formal,suits
176,US_NY,,a,my,that,the,what
22,US_NY,,clothes,dresses,jeans,pretty,whatever
120,US_NY,,a,business,casual,formal,suits
15,US_NY,,a,casual,jeans,pretty,whatever
155,US_NY,,clothes,designer,dresses,expensive,shoes
148,US_NY,,a,clothing,denim,jeans,used
8,US_NY,,a,clothes,jeans,pretty,whatever
127,US_NY,,a,business,casual,lots,many
218,US_NY,,,a,an,denim,skinny
134,US_NY,,a,business,casual,professional,suits
1,US_NY,,a,jeans,pretty,very,whatever
211,US_NY,,,a,my,something,the
29,US_NY,,a,casual,jeans,pretty,whatever
36,US_NY,,a,clothes,jeans,my,whatever
113,US_NY,,a,business,casual,professional,suits
71,US_NY,,a,black,jeans,probably,skinny
78,US_NY,,a,clothes,jeans,many,skinny
183,US_NY,,a,an,definitely,my,the
64,US_NY,,a,business,casual,jeans,suits
85,US_NY,,casual,clothes,light,shorts,sunglasses
169,US_NY,,a,myself,some,something,that
57,US_NY,,a,casual,jeans,pretty,whatever
190,US_NY,,a,anything,heels,my,sneakers
92,US_NY,,casual,comfortable,dark,jeans,light
50,US_NY,,a,clothes,jeans,pretty,whatever
99,US_NY,,a,casual,comfortable,rain,their
43,US_NY,,a,clothes,jeans,pretty,whatever
162,US_NY,,a,denim,dresses,jeans,t
197,US_NY,,all,designer,high,the,trendy
106,US_NY,,a,business,casual,professional,suits
204,US_NY,,a,jeans,ripped,skinny,something
141,US_NY,,a,an,her,something,the
